id,KDA,WinRate,BanRate,Builds,CS,Role,Runes,Vision
48,3.6085052,0.48,0,"['3078', '3047', '3065', '3742', '3153', '3748']",2.213041185,Jungle,"[8005, 9111, 9104, 8014, 8275, 8232]",9.43628612
23,2.431631595,0.48,0.03,"['6672', '3006', '6675', '3031', '3508', '3153']",6.184923255,Top,"[8008, 9111, 9104, 8299, 8275, 8210]",9.161614993
4,2.955201308,0.47,0,"['3152', '3100', '3020', '3157', '3094', '3089']",5.294686257,Middle,"[8112, 8139, 8138, 8135, 8316, 8352]",9.976173021
29,3.186275358,0.48,0.03,"['6672', '3006', '3085', '3031', '3115', '3089']",4.495946889,Bottom,"[9923, 8139, 8138, 8135, 8009, 9104]",11.96263785
77,3.951445503,0.52,0.01,"['3068', '3742', '3047', '3100', '3075', '4401']",1.588965782,Jungle,"[8230, 8275, 8234, 8232, 9111, 9104]",8.594955257
6,2.829286396,0.51,0.04,"['6630', '3047', '3071', '3074', '6333', '3053']",5.88010847,Top,"[8005, 9111, 9105, 8299, 8473, 8451]",10.61850777
110,3.094734389,0.46,0,"['6691', '3006', '3153', '3124', '3085', '6676']",5.873185233,Bottom,"[8229, 8226, 8210, 8237, 8009, 8014]",10.98475317
67,2.786439401,0.51,0.13,"['6672', '3006', '3124', '3153', '3046', '3033']",5.893480302,Bottom,"[8005, 9111, 9104, 8014, 8139, 8135]",10.25504107
45,3.06631161,0.49,0,"['6655', '3020', '3157', '3089', '3165', '3135']",5.29516615,Middle,"[8112, 8139, 8138, 8135, 8226, 8210]",11.96032255
161,3.517075706,0.51,0,"['6655', '3020', '3157', '3165', '3089', '4628']",3.348133747,Support,"[8229, 8226, 8210, 8237, 8345, 8347]",19.86913104
254,3.37678828,0.51,0,"['3078', '3047', '3053', '6333', '3071', '6609']",0.952544459,Jungle,"[9923, 8143, 8138, 8105, 9111, 9104]",9.093867229
234,2.843655149,0.48,0.13,"['6672', '3153', '3111', '6676', '3053', '6333']",2.588031063,Jungle,"[8010, 9111, 9104, 8014, 8143, 8135]",9.131010642
112,3.389804434,0.51,0.01,"['6655', '3020', '3100', '3157', '3089', '3165']",6.071927503,Middle,"[8230, 8226, 8210, 8237, 8139, 8135]",10.52743499
8,3.180222424,0.49,0.11,"['3152', '3020', '3089', '3157', '4629', '3041']",6.181522985,Middle,"[8230, 8275, 8210, 8236, 8304, 8347]",9.449848125
106,3.478551191,0.51,0.03,"['3068', '3047', '3075', '3065', '3742', '3053']",3.620939086,Jungle,"[8005, 9111, 9105, 8299, 8275, 8232]",9.380771381
19,3.403770217,0.5,0.01,"['3068', '3047', '3748', '3075', '3065', '3053']",1.44494759,Jungle,"[8005, 9111, 9104, 8299, 8234, 8232]",8.542857143
498,3.179794923,0.47,0,"['6671', '3006', '3508', '3031', '3094', '6675']",6.191985535,Bottom,"[8008, 8009, 9103, 8014, 8275, 8236]",10.36517347
101,4.16803624,0.51,0.01,"['6655', '3020', '4628', '3089', '3157', '3165']",3.717728233,Support,"[8229, 8226, 8210, 8237, 8009, 8014]",16.61789624
5,2.91845446,0.48,0,"['3078', '3047', '3153', '3053', '6333', '3091']",1.524070468,Jungle,"[9923, 8143, 8138, 8105, 9111, 9104]",9.238267148
157,2.318111928,0.48,0.3,"['6673', '3006', '3031', '3046', '3072', '3033']",6.268205763,Middle,"[8010, 9111, 9104, 8014, 8139, 8135]",9.505331479
777,2.556487938,0.48,0.32,"['6673', '3006', '3031', '3072', '3046', '3033']",5.884106835,Middle,"[8010, 9111, 9104, 8014, 8139, 8135]",9.449859831
83,2.784243564,0.52,0,"['6632', '3047', '3053', '3742', '3065', '3075']",6.36502235,Top,"[8010, 9111, 9105, 8299, 8446, 8473]",9.235687936
350,6.4247246,0.49,0.24,"['6617', '3504', '6616', '3222', '3107', '3041']",0.227843924,Support,"[8214, 8226, 8210, 8237, 8009, 8017]",18.17883398
154,5.377625543,0.5,0.02,"['3068', '3075', '3065', '3047', '3083', '3143']",0.997682736,Jungle,"[8439, 8463, 8429, 8453, 8304, 8347]",9.143710801
238,3.175118566,0.5,0.49,"['6692', '3142', '3111', '3814', '6694', '3071']",5.620055807,Middle,"[8112, 8139, 8138, 8106, 8210, 8237]",10.04656225
115,3.433537456,0.49,0,"['6655', '3020', '3157', '3165', '3089', '4628']",5.693273305,Middle,"[8229, 8226, 8210, 8237, 8345, 8347]",11.46197518
26,4.487830583,0.52,0,"['4005', '3158', '3157', '3011', '3165', '3102']",1.665256663,Support,"[8214, 8226, 8234, 8232, 8126, 8105]",23.84098522
142,3.48191124,0.47,0.01,"['6655', '3020', '4628', '3157', '3089', '3165']",5.144645904,Middle,"[8112, 8139, 8138, 8135, 8345, 8352]",11.42031873
143,2.861054206,0.51,0.01,"['6653', '3020', '3157', '3165', '3116', '4637']",1.483119532,Support,"[8229, 8226, 8210, 8237, 8139, 8105]",28.31813555
