id,KDA,WinRate,BanRate,Builds,CS,Role,Runes,Vision
122,2.753663231,0.5,0.53,"['6631', '3053', '3047', '3742', '3065', '3075']",5.996066122,Top,"[8010, 9111, 9105, 8299, 8275, 8234]",9.677242712
131,3.039752152,0.51,0.05,"['4636', '3020', '3157', '3100', '3115', '3089']",5.120798494,Middle,"[8112, 8143, 8138, 8135, 8233, 8236]",9.858524643
119,2.823825763,0.49,0.07,"['6691', '3006', '6676', '3031', '3072', '3094']",6.17705774,Bottom,"[9923, 8139, 8138, 8135, 8009, 9103]",8.771249562
36,3.2977695,0.49,0.01,"['3068', '3065', '3075', '3047', '3083', '3742']",3.847580836,Top,"[8021, 9111, 9105, 8299, 8304, 8410]",8.769801199
245,3.731134069,0.51,0.11,"['3152', '3020', '3100', '3157', '3089', '3165']",3.027291026,Jungle,"[8128, 8143, 8138, 8135, 8304, 8321]",8.9858876
60,3.564681705,0.5,0.01,"['4636', '3020', '3157', '3100', '3165', '3135']",0.78194482,Jungle,"[8112, 8126, 8138, 8105, 8275, 8232]",9.830555368
28,4.133094553,0.48,0.1,"['4636', '3020', '3100', '3089', '3041', '3135']",0.625379368,Jungle,"[8112, 8143, 8138, 8105, 8233, 8236]",8.180005921
81,3.357746646,0.46,0.03,"['6632', '3158', '3153', '3074', '6694', '6609']",5.942155445,Bottom,"[8010, 8009, 9103, 8014, 8226, 8210]",9.780869565
9,3.735574254,0.5,0.02,"['3152', '3020', '3157', '3165', '3089', '4637']",1.132854722,Jungle,"[8128, 8126, 8138, 8106, 8313, 8347]",6.301668737
114,2.414716575,0.5,0.09,"['3078', '3074', '3047', '6333', '3053', '3153']",5.901749507,Top,"[8010, 9111, 9104, 8014, 8446, 8473]",9.36487818
105,3.576773917,0.52,0.22,"['4636', '3020', '3100', '3157', '3089', '3041']",5.184956928,Middle,"[8112, 8143, 8138, 8135, 9111, 8014]",9.960218409
3,3.763942696,0.51,0,"['3152', '3111', '3157', '3165', '3075', '4637']",4.187819033,Middle,"[8439, 8401, 8473, 8451, 8275, 8210]",13.92899769
41,2.928870186,0.46,0,"['3078', '6676', '3047', '3508', '3031', '6675']",6.249246536,Top,"[8437, 8446, 8473, 8451, 8345, 8352]",9.556943471
86,3.44773352,0.52,0.04,"['6631', '3742', '3006', '3053', '3075', '3071']",5.907045585,Top,"[8010, 9111, 9105, 8299, 8429, 8451]",9.663260048
150,2.902009404,0.5,0.01,"['6632', '3047', '3071', '3053', '3742', '3075']",5.83464577,Top,"[8021, 9111, 9104, 8014, 8446, 8473]",9.960619542
79,3.521767662,0.48,0,"['4636', '3020', '3157', '3100', '3165', '3089']",2.777104791,Jungle,"[8124, 8143, 8138, 8105, 8234, 8232]",9.987923827
104,3.397125831,0.47,0.07,"['6671', '6676', '3006', '3072', '3031', '3071']",1.581849445,Jungle,"[8230, 8275, 8233, 8232, 9111, 9104]",8.828613268
120,4.322337735,0.52,0.21,"['3078', '3047', '3053', '6333', '3742', '3065']",0.962472906,Jungle,"[8230, 8275, 8234, 8232, 8143, 8135]",8.361257076
74,2.714209925,0.51,0,"['6653', '3020', '3157', '3165', '3089', '4637']",5.635370882,Middle,"[8229, 8226, 8210, 8237, 8139, 8135]",10.43216519
420,2.234660108,0.5,0.05,"['6630', '3053', '3047', '6333', '3071', '3065']",6.604722822,Top,"[8010, 8009, 9105, 8299, 8139, 8135]",9.369413032
39,2.245751429,0.44,0.08,"['3078', '3153', '3047', '3053', '6333', '3091']",6.960477203,Top,"[8010, 9111, 9104, 8299, 8345, 8352]",9.54013616
427,5.289843132,0.52,0.01,"['6617', '6616', '3158', '3504', '3107', '3041']",0.668439476,Jungle,"[8214, 8275, 8210, 8232, 8321, 8347]",9.455030036
40,4.288968899,0.51,0,"['4005', '3117', '3504', '6616', '3107', '3222']",0.598432066,Support,"[8229, 8226, 8234, 8237, 8139, 8105]",28.98596705
59,4.523714193,0.49,0,"['6630', '3047', '3071', '3053', '3075', '6333']",1.121222797,Jungle,"[8010, 9111, 9104, 8014, 8143, 8105]",9.982033239
24,2.350334097,0.47,0.08,"['3078', '3153', '3047', '3053', '6333', '3091']",4.500932668,Top,"[8010, 9111, 9104, 8299, 8345, 8352]",9.777821771
126,2.678266559,0.45,0,"['6692', '3142', '3047', '3814', '3071', '6676']",5.969178223,Top,"[8010, 8009, 9104, 8299, 8304, 8345]",10.33302555
202,4.143716238,0.52,0.2,"['6671', '3009', '6676', '3094', '3031', '3095']",6.080061857,Bottom,"[8128, 8139, 8138, 8135, 8009, 9103]",9.639683197
222,3.262537012,0.49,0,"['6672', '3006', '3085', '3031', '3094', '3072']",6.062893029,Bottom,"[8008, 8009, 9103, 8014, 8275, 8236]",9.932011809
145,3.446278048,0.5,0.1,"['6672', '3006', '3085', '6676', '3031', '3115']",6.347788288,Bottom,"[9923, 8139, 8138, 8135, 8009, 9103]",10.32570616
429,3.062516479,0.46,0,"['6673', '3006', '3085', '3153', '3124', '3072']",6.136305302,Bottom,"[9923, 8139, 8138, 8135, 9111, 9104]",10.33832456
43,3.625972342,0.47,0,"['4005', '3158', '3504', '6616', '3107', '3157']",1.37799834,Support,"[8229, 8226, 8210, 8237, 8345, 8347]",24.71473395
30,3.174526004,0.48,0,"['6653', '3020', '3157', '3089', '3165', '3135']",2.685452565,Jungle,"[8128, 8126, 8138, 8135, 8009, 8014]",8.591691395
38,3.414756929,0.5,0.1,"['6655', '3020', '3157', '3100', '3041', '3089']",5.764517206,Middle,"[8021, 8009, 9105, 8014, 8139, 8135]",9.496588428
55,2.917996003,0.49,0.24,"['6672', '3020', '3153', '3157', '3100', '3074']",5.186612206,Middle,"[8010, 9111, 9105, 8014, 8143, 8135]",9.533519034
10,2.744656923,0.52,0.04,"['4633', '3006', '3115', '3100', '3124', '3089']",6.317843788,Top,"[8005, 9101, 9104, 8014, 8139, 8135]",9.9008
141,3.433973594,0.5,0.24,"['6630', '3071', '3047', '6333', '3142', '3814']",1.092712443,Jungle,"[8010, 9111, 9105, 8299, 8143, 8135]",8.073051607
85,3.04298707,0.5,0,"['3152', '3020', '3157', '3165', '3089', '3135']",5.502391647,Top,"[8214, 8275, 8210, 8237, 8139, 8135]",10.11752212
121,3.626129224,0.51,0.3,"['6691', '3047', '3142', '3814', '6676', '6694']",0.758789842,Jungle,"[8128, 8143, 8138, 8135, 8275, 8232]",8.889603776
203,2.802456857,0.45,0,"['6672', '3006', '3095', '3031', '3094', '6676']",1.241876108,Jungle,"[8005, 9111, 9104, 8014, 8143, 8135]",9.378561612
240,3.383329842,0.51,0,"['6630', '3047', '3053', '3074', '3748', '3071']",5.317875758,Top,"[8010, 9111, 9104, 8299, 8446, 8473]",9.267896017
96,2.842429408,0.5,0,"['6672', '3006', '3124', '3085', '3153', '3091']",5.884424108,Bottom,"[8008, 9111, 9104, 8014, 8139, 8135]",10.10435907
7,3.790035565,0.46,0.02,"['6655', '3020', '3157', '3165', '3089', '3041']",4.79132305,Middle,"[8112, 8139, 8138, 8135, 8226, 8210]",10.78558017
64,3.478806532,0.45,0.03,"['6630', '3047', '3071', '3074', '3053', '6333']",0.892474417,Jungle,"[8010, 9111, 9104, 8014, 8304, 8347]",13.0083699
89,3.534088503,0.5,0.25,"['3190', '3117', '3050', '3109', '3075', '3193']",1.321312005,Support,"[8439, 8463, 8473, 8451, 8345, 8347]",25.78370488
876,3.486009692,0.46,0.02,"['6653', '4637', '3020', '3157', '3165', '3116']",1.475250475,Jungle,"[8128, 8126, 8138, 8135, 8304, 8347]",8.533529845
127,3.148512065,0.51,0,"['6655', '3020', '3157', '3165', '3089', '3135']",5.690009083,Middle,"[8112, 8126, 8138, 8106, 8226, 8210]",10.76220154
236,2.983000936,0.46,0.03,"['6672', '3006', '3508', '3031', '6676', '6675']",6.287814905,Bottom,"[8005, 8009, 9103, 8014, 8304, 8345]",10.61563038
117,4.39840211,0.5,0.11,"['6617', '3504', '3158', '3107', '6616', '3222']",0.748530832,Support,"[8214, 8226, 8210, 8237, 8345, 8347]",25.38477093
99,3.968946907,0.5,0.01,"['6655', '3020', '3157', '3165', '4628', '3089']",3.028088099,Support,"[8229, 8226, 8210, 8237, 8345, 8347]",19.06364005
54,3.658226544,0.51,0.2,"['3068', '3047', '3075', '4401', '3157', '3110']",4.46250924,Top,"[8229, 8226, 8210, 8237, 8345, 8352]",11.54283227
90,3.074623285,0.52,0.05,"['6653', '3020', '4637', '3116', '3157', '3165']",6.205385916,Middle,"[8214, 8226, 8210, 8237, 8304, 8347]",11.16676229
57,3.129159546,0.51,0.01,"['4005', '3020', '4637', '3075', '3065', '3165']",2.250458647,Support,"[8229, 8226, 8210, 8237, 8304, 8345]",18.60257426
11,2.730891653,0.5,0.28,"['6691', '3006', '3124', '6676', '3153', '3091']",1.195936677,Jungle,"[9923, 8143, 8138, 8135, 9111, 9104]",8.465412431
21,3.414920523,0.51,0.01,"['6692', '3006', '6676', '3031', '3508', '3033']",6.028489831,Bottom,"[8229, 8226, 8233, 8237, 8126, 8135]",11.04511901
62,3.303184514,0.52,0.02,"['6630', '3047', '3074', '3053', '6333', '3071']",4.826050121,Top,"[8010, 9111, 9104, 8299, 8304, 8345]",9.456255599
82,2.535897108,0.5,0.08,"['4633', '3047', '4637', '3157', '3116', '3165']",5.713427742,Top,"[8010, 9111, 9105, 8299, 8139, 8135]",9.204794594
25,3.820051799,0.5,0.4,"['4005', '3157', '3020', '3165', '3107', '4637']",1.25348075,Support,"[8229, 8226, 8210, 8237, 8313, 8345]",26.0118376
267,4.590103029,0.52,0,"['4005', '3504', '3158', '6616', '3107', '3222']",0.424911441,Support,"[8214, 8226, 8210, 8237, 8345, 8347]",26.54819339
75,2.905055529,0.52,0.07,"['6632', '3047', '3065', '3110', '3075', '3742']",5.878365836,Top,"[8437, 8446, 8444, 8451, 8345, 8347]",8.60676882
111,3.420325865,0.49,0.14,"['3190', '3050', '3047', '3109', '3075', '3193']",1.432703268,Support,"[8439, 8401, 8473, 8242, 8345, 8347]",23.86855925
518,3.337929094,0.51,0,"['6655', '3020', '3157', '3165', '3089', '4628']",4.7433521,Middle,"[8112, 8139, 8138, 8135, 8226, 8237]",14.002776
76,3.285713143,0.43,0,"['4636', '3020', '3100', '3157', '3089', '3165']",0.941388731,Jungle,"[8128, 8143, 8138, 8135, 8304, 8347]",9.939772727
56,3.33277547,0.5,0.01,"['6691', '3814', '3111', '3181', '6676', '3142']",1.445912389,Jungle,"[8008, 9111, 9104, 8014, 8143, 8106]",9.001220646
20,4.887205465,0.53,0.06,"['3068', '3742', '3047', '3075', '3065', '3143']",0.969538856,Jungle,"[8230, 8275, 8234, 8232, 9111, 9104]",7.794608067
