id,KDA,WinRate,BanRate,Builds,CS,Role,Runes,Vision
98,4.196920098,0.5,0.01,"['3068', '3047', '3075', '3748', '3143', '3065']",3.452562721,Top,"[8437, 8401, 8444, 8451, 8126, 8106]",9.045167913
102,3.161628251,0.48,0,"['4636', '3020', '3115', '3165', '3089', '3153']",1.378565795,Jungle,"[8128, 8143, 8138, 8135, 8210, 8236]",8.207689586
27,2.523217222,0.5,0,"['4633', '3116', '3009', '4637', '3742', '3041']",4.717742218,Top,"[8010, 9111, 9105, 8299, 8139, 8135]",8.112188729
14,3.274888628,0.54,0,"['3068', '3047', '3075', '3748', '3143', '3065']",4.500679576,Top,"[8437, 8446, 8429, 8451, 8345, 8352]",8.438959411
15,3.346125101,0.49,0,"['6673', '3006', '3508', '3031', '3046', '6676']",4.962656233,Bottom,"[8008, 8009, 9103, 8014, 8275, 8236]",8.411841249
72,3.972879455,0.53,0,"['6664', '3742', '3111', '3075', '4401', '3053']",0.855248023,Jungle,"[8230, 8275, 8234, 8232, 8304, 8347]",8.38607822
37,3.89632381,0.5,0,"['6617', '3158', '3504', '6616', '3107', '3100']",0.540325278,Support,"[8214, 8226, 8210, 8237, 8009, 8017]",18.30615308
16,3.618210062,0.49,0,"['6617', '3158', '3504', '3107', '6616', '3222']",0.611273181,Support,"[8214, 8226, 8210, 8237, 8473, 8453]",17.33249743
50,3.851499513,0.54,0.06,"['6653', '3020', '3157', '3165', '4637', '3116']",1.846549032,Support,"[8112, 8126, 8138, 8106, 8313, 8347]",14.94180661
517,2.713807277,0.47,0.04,"['3152', '3020', '3157', '3165', '3100', '3089']",3.450060389,Middle,"[8021, 8009, 9105, 8299, 8345, 8347]",8.158456853
134,3.363905476,0.48,0.01,"['6655', '3020', '3157', '3165', '3089', '3135']",4.821429516,Middle,"[8112, 8139, 8138, 8135, 8226, 8210]",9.358802016
223,3.400352808,0.48,0,"['3068', '3047', '3075', '3742', '3065', '3083']",3.424486632,Top,"[8437, 8401, 8444, 8453, 8126, 8135]",10.38038023
163,3.116831256,0.46,0,"['6655', '3020', '3157', '3165', '3089', '3116']",1.533313213,Jungle,"[8128, 8126, 8138, 8135, 8275, 8232]",8.622944244
91,3.009736218,0.47,0.01,"['6691', '3142', '3074', '3814', '3047', '3071']",4.068901458,Middle,"[8010, 9111, 9105, 8299, 8139, 8135]",8.580040894
44,4.113362423,0.51,0,"['3190', '3047', '3050', '3109', '3107', '3504']",1.324661803,Support,"[8465, 8463, 8473, 8453, 8009, 9105]",15.50079527
17,2.540682731,0.52,0.3,"['6653', '3020', '3115', '4637', '3165', '3089']",4.487490568,Top,"[8437, 8446, 8473, 8451, 8126, 8135]",8.252311225
412,3.414675821,0.47,0.03,"['3190', '3117', '3050', '3109', '3107', '3075']",1.272012465,Support,"[8439, 8463, 8473, 8451, 8345, 8347]",16.70720499
18,3.316905805,0.51,0.07,"['6672', '3006', '3095', '3031', '3094', '3072']",4.719072482,Bottom,"[9923, 8139, 8138, 8135, 9111, 9103]",8.306180779
48,3.480440671,0.51,0,"['3078', '3047', '3153', '3742', '3748', '3065']",1.776045684,Jungle,"[8005, 9111, 9104, 8014, 8275, 8232]",8.104095815
23,2.593162302,0.49,0.07,"['6672', '3006', '3031', '6675', '3153', '3046']",4.699827714,Top,"[8008, 9111, 9104, 8299, 8275, 8210]",7.463767237
4,2.695548002,0.45,0,"['3152', '3100', '3020', '3157', '3094', '3089']",4.235845241,Middle,"[8112, 8139, 8138, 8135, 8316, 8352]",8.485476062
29,3.227392453,0.49,0.02,"['6672', '3006', '3085', '3031', '3153', '3115']",3.881516489,Bottom,"[9923, 8139, 8138, 8135, 8009, 9104]",8.637248305
77,3.28453326,0.51,0,"['3078', '3047', '3742', '3153', '3100', '3075']",1.193638321,Jungle,"[8230, 8275, 8234, 8232, 9111, 9104]",7.678142129
6,3.024304212,0.52,0.07,"['6630', '3047', '3071', '3074', '6333', '3053']",5.150382131,Top,"[8005, 9111, 9105, 8299, 8473, 8451]",8.425472041
110,3.106751668,0.47,0,"['6672', '3006', '3085', '3153', '3124', '3031']",4.699415312,Bottom,"[8229, 8226, 8210, 8237, 8009, 8014]",8.064402455
67,2.639649309,0.49,0.15,"['6672', '3006', '3153', '3124', '3046', '3031']",4.721063596,Bottom,"[8005, 9111, 9104, 8014, 8139, 8135]",8.306654206
45,3.23617737,0.51,0.03,"['6655', '3020', '3157', '3089', '3165', '3135']",3.985776357,Middle,"[8229, 8226, 8210, 8236, 8138, 8105]",10.05412314
161,3.575709454,0.52,0,"['6655', '3020', '3157', '3165', '3089', '4628']",2.680798088,Support,"[8229, 8226, 8210, 8237, 8345, 8347]",15.3260774
254,3.231275812,0.53,0.01,"['3078', '3047', '3053', '6333', '3071', '3026']",0.920099149,Jungle,"[9923, 8143, 8138, 8105, 9111, 9104]",8.023911875
234,2.705435546,0.46,0.05,"['6672', '3153', '3006', '6676', '6333', '3053']",2.113515307,Jungle,"[8010, 9111, 9104, 8014, 8139, 8135]",7.965290245
112,3.411555606,0.51,0,"['6655', '3020', '3100', '3157', '3089', '3165']",4.830448647,Middle,"[8230, 8226, 8210, 8237, 8139, 8135]",9.11935341
8,2.944139382,0.47,0.03,"['3152', '3020', '3157', '3089', '4629', '3041']",4.99110977,Middle,"[8230, 8275, 8210, 8236, 8304, 8347]",8.107962596
106,3.442259087,0.5,0.03,"['3068', '3047', '3742', '3075', '3065', '3053']",2.450854512,Jungle,"[8005, 9111, 9105, 8299, 8275, 8232]",7.902453335
19,3.189767206,0.51,0.07,"['3068', '3047', '3748', '3075', '3065', '6333']",0.862653234,Jungle,"[8005, 9111, 9104, 8299, 8234, 8232]",7.05655263
498,3.119055595,0.48,0,"['6673', '3006', '3508', '3031', '3094', '6676']",4.868666524,Bottom,"[8008, 8009, 9103, 8014, 8275, 8236]",8.388746985
101,4.077573058,0.5,0.01,"['6655', '3020', '4628', '3165', '3089', '3157']",2.833290782,Support,"[8229, 8226, 8210, 8237, 8345, 8347]",13.57092127
5,2.737949019,0.48,0,"['3078', '3153', '3047', '3053', '6333', '3074']",1.279402335,Jungle,"[9923, 8143, 8138, 8105, 9111, 9104]",7.78460302
157,2.585531498,0.5,0.45,"['6673', '3006', '3031', '3072', '3046', '3033']",5.326677597,Middle,"[8010, 9111, 9104, 8014, 8139, 8135]",7.968994353
777,2.724451307,0.48,0.2,"['6673', '3006', '3031', '3072', '3046', '3033']",4.857618795,Middle,"[8010, 9111, 9104, 8014, 8139, 8135]",7.790011351
83,3.031695006,0.53,0,"['6632', '3047', '3053', '3742', '3065', '3748']",5.452033005,Top,"[8010, 9111, 9105, 8299, 8446, 8473]",7.725107903
350,6.858379739,0.48,0.08,"['6617', '3504', '6616', '3107', '3222', '3041']",0.203187337,Support,"[8214, 8226, 8210, 8237, 8009, 8017]",12.6069691
154,5.102597159,0.51,0,"['3068', '3047', '3075', '3065', '3083', '3143']",0.907357445,Jungle,"[8439, 8463, 8429, 8453, 8304, 8347]",8.206704559
238,3.216397111,0.48,0.57,"['6691', '3142', '3111', '3814', '3071', '6676']",4.639571667,Middle,"[8112, 8139, 8138, 8106, 8210, 8237]",8.85835004
115,3.365498924,0.5,0,"['6655', '3020', '3157', '3165', '3089', '4628']",4.174690897,Middle,"[8229, 8226, 8210, 8236, 8138, 8105]",10.1601291
26,4.089969927,0.5,0,"['6655', '3020', '3157', '3165', '3011', '3089']",1.574589346,Support,"[8214, 8226, 8234, 8232, 8126, 8105]",17.16125636
142,3.330344975,0.46,0.01,"['6655', '3020', '4628', '3157', '3165', '3089']",3.984020789,Middle,"[8112, 8139, 8138, 8135, 8345, 8352]",9.624241674
143,3.064912913,0.51,0.01,"['6653', '3020', '3157', '3165', '3116', '4637']",1.773100417,Support,"[8229, 8226, 8210, 8237, 8139, 8105]",20.42478883
